"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 05 17:33:20 UTC 2026","Thu Feb 05 17:33:20 UTC 2026","37","tests","test_grades_high_level","TestGetGradesHighLevel","","","test_get_grades_returns_list_of_grade_models","Проверка что сервис возвращает список GradeResponse моделей"
"passed","Thu Feb 05 17:33:26 UTC 2026","Thu Feb 05 17:33:26 UTC 2026","11","tests","test_grades_low_level","TestGetGradesStatsLowLevel","","","test_get_grades_stats_response_structure","Проверка структуры ответа статистики"
"passed","Thu Feb 05 17:33:24 UTC 2026","Thu Feb 05 17:33:24 UTC 2026","10","tests","test_grades_low_level","TestGetGradesLowLevel","","","test_get_grades_returns_200","Проверка что endpoint возвращает 200 OK"
"passed","Thu Feb 05 17:33:22 UTC 2026","Thu Feb 05 17:33:22 UTC 2026","11","tests","test_grades_high_level","TestGetGradesStatsHighLevel","","","test_stats_min_max_avg_are_none_when_no_grades","Проверка что при count=0 статистика содержит None"
"passed","Thu Feb 05 17:33:26 UTC 2026","Thu Feb 05 17:33:26 UTC 2026","10","tests","test_grades_low_level","TestGetGradesStatsLowLevel","","","test_get_grades_stats_count_is_non_negative","Проверка что count >= 0"
"passed","Thu Feb 05 17:33:24 UTC 2026","Thu Feb 05 17:33:24 UTC 2026","3","tests","test_grades_low_level","TestGetGradesLowLevel","","","test_get_grades_without_auth_returns_403","Проверка что без авторизации возвращается 403"
"passed","Thu Feb 05 17:33:24 UTC 2026","Thu Feb 05 17:33:24 UTC 2026","11","tests","test_grades_low_level","TestGetGradesLowLevel","","","test_get_grades_returns_list","Проверка что endpoint возвращает список"
"passed","Thu Feb 05 17:33:21 UTC 2026","Thu Feb 05 17:33:21 UTC 2026","12","tests","test_grades_high_level","TestGetGradesHighLevel","","","test_grade_values_within_valid_range","Проверка что все оценки в допустимом диапазоне"
"passed","Thu Feb 05 17:33:25 UTC 2026","Thu Feb 05 17:33:25 UTC 2026","9","tests","test_grades_low_level","TestGetGradesStatsLowLevel","","","test_get_grades_stats_returns_200","Проверка что endpoint возвращает 200 OK"
"passed","Thu Feb 05 17:33:23 UTC 2026","Thu Feb 05 17:33:23 UTC 2026","60","tests","test_grades_high_level","TestGetGradesStatsHighLevel","","","test_stats_calculation_matches_actual_grades","Проверка что статистика соответствует реальным данным"
"passed","Thu Feb 05 17:33:21 UTC 2026","Thu Feb 05 17:33:21 UTC 2026","11","tests","test_grades_high_level","TestGetGradesStatsHighLevel","","","test_get_grades_stats_returns_statistic_model","Проверка что сервис возвращает GradeStatisticResponse модель"
"passed","Thu Feb 05 17:33:22 UTC 2026","Thu Feb 05 17:33:23 UTC 2026","10","tests","test_grades_high_level","TestGetGradesStatsHighLevel","","","test_stats_values_are_valid_when_grades_exist","Проверка корректности статистики при наличии оценок"
"passed","Thu Feb 05 17:33:26 UTC 2026","Thu Feb 05 17:33:26 UTC 2026","3","tests","test_grades_low_level","TestGetGradesStatsLowLevel","","","test_get_grades_stats_without_auth_returns_403","Проверка что без авторизации возвращается 403"
